,date,day,item_name,package_id_unique,min_package_id,max_package_id,campaign_unique,min_campaign,max_campaign,qty_min,qty_mean,qty_max,qty_stdev,qty_unique,qty_sum,unit_price_min,unit_price_mean,unit_price_max,unit_price_stdev,unit_price_unique,unit_price_sum,sale_amount_min,sale_amount_mean,sale_amount_max,sale_amount_stdev,sale_amount_unique,sale_amount_sum,metro_area,county_1,total_market_sales
41,2018-11-01,Thu,Skittles original,1,9000000760,9000000760,2,discount_type_1,discount_type_1,0.82,1.40571428571429,1.67,0.381408609594132,4,19.68,1.24,1.52571428571429,2.09,0.382857962931715,4,21.36,1.71,2.01571428571429,2.59,0.278725513880432,4,28.22,,,
42,2018-11-01,Thu,Snickers,1,9000000765,9000000765,4,discount_type_215,discount_type_1,0.47,1.65266666666667,3.33,0.854343600962601,13,49.58,1.24,1.78,2.55,0.386647839414803,14,53.4,1.2,2.83033333333333,6.05,1.50660038253137,14,84.91,,,
43,2018-11-01,Thu,Starburst,1,9000000762,9000000762,3,discount_type_215,discount_type_1,1.63,2.65090909090909,6.54,1.89735130941584,6,58.32,1.24,1.59090909090909,2.12,0.31769870558828,7,35.0,2.02,4.26863636363636,10.82,3.10579381073587,7,93.91,,,
44,2018-11-02,Fri,100 Grand,1,9000000759,9000000759,2,discount_type_1,discount_type_1,0.53,1.292,3.34,1.02096239427626,4,25.84,0.02,0.6785,1.82,0.765088746142357,4,13.57,0.01,1.435,4.24,1.71017542959779,4,28.7,,,
45,2018-11-02,Fri,3 Musketeers,1,9000000757,9000000757,2,discount_type_1,discount_type_215,0.51,2.0045,13.05,3.16476568518197,7,40.09,0.02,0.732,2.06,0.830159147709833,7,14.64,0.01,2.5865,21.66,5.12180917357591,7,51.73,,,
46,2018-11-02,Fri,Air Heads,1,9000000758,9000000758,4,discount_type_9,discount_type_1,0.49,1.69833333333333,6.51,1.27452654916573,14,91.7099999999999,0.03,1.34277777777778,2.47,0.731726871063567,20,72.51,0.01,2.52981481481482,9.7,2.00698731392775,21,136.61,,,
47,2018-11-02,Fri,Milky Way,1,9000000766,9000000766,3,discount_type_6,discount_type_215,0.49,1.62458333333333,3.26,1.25422062814242,4,38.99,0.03,0.718333333333334,2.06,0.676870462635508,6,17.24,0.01,1.72166666666667,4.21,1.7206461543286,6,41.32,,,
48,2018-11-02,Fri,Nestle Butterfinger,1,9000000764,9000000764,4,discount_type_6,discount_type_215,0.5,2.27153846153846,6.51,2.18582468154734,6,59.06,0.03,0.777307692307692,2.17,0.702985392123096,7,20.21,0.02,2.52615384615385,8.07,2.86549273518266,7,65.68,,,
49,2018-11-02,Fri,Reeses Miniatures,1,A000005754,A000005754,4,discount_type_6,discount_type_215,0.47,2.42636363636364,13.02,2.88681291304546,13,106.76,0.03,1.10568181818182,2.17,0.687453669397953,15,48.65,0.01,3.27181818181818,21.61,4.42785909353718,16,143.96,,,
50,2018-11-02,Fri,Reeses Peanut Butter cup,1,9000000761,9000000761,2,discount_type_6,discount_type_1,0.52,1.11,3.3,0.887681782717445,4,22.2,0.02,0.6545,2.06,0.775570927225805,4,13.09,0.01,1.177,5.61,1.72500221205045,4,23.54,,,
51,2018-11-02,Fri,Reeses pieces,1,9000000763,9000000763,3,discount_type_13,discount_type_1,0.47,2.29894736842105,13.02,3.40580696056479,6,43.68,0.03,0.773684210526315,2.12,0.91138606605736,6,14.7,0.01,3.33842105263158,19.4,5.52084057927363,7,63.43,,,
52,2018-11-02,Fri,Skittles original,1,9000000760,9000000760,4,discount_type_13,discount_type_215,0.48,1.84269230769231,6.52,1.72802212414612,5,47.91,0.03,0.806923076923078,1.81,0.709060049534701,6,20.98,0.01,2.20923076923077,9.71,2.65365246115903,5,57.44,,,
53,2018-11-02,Fri,Snickers,1,9000000765,9000000765,4,discount_type_2,discount_type_1,0.47,1.48710526315789,3.34,1.00922744843482,13,56.51,0.03,1.09368421052632,2.6,0.80277700802204,15,41.56,0.02,1.93105263157895,5.41,1.71729798681925,14,73.38,,,
54,2018-11-02,Fri,Starburst,1,9000000762,9000000762,2,discount_type_215,discount_type_1,0.47,1.782,6.51,1.78904536927752,8,44.55,0.03,0.952800000000001,2.1,0.863155644519959,8,23.82,0.01,2.448,8.07,2.72086383341762,8,61.2,,,
55,2018-11-03,Sat,100 Grand,1,9000000759,9000000759,2,discount_type_1,discount_type_215,0.5,2.602,13.02,3.4927357267825,7,39.03,0.89,1.63266666666667,2.39,0.488181270002191,7,24.49,0.91,3.51133333333333,16.14,4.26698097800619,6,52.67,,,
56,2018-11-03,Sat,3 Musketeers,1,9000000757,9000000757,3,discount_type_1,discount_type_13,0.81,3.47842105263158,13.02,3.13423437958919,8,66.09,1.24,1.5678947368421,1.82,0.178592613613859,8,29.79,1.3,5.07842105263158,16.14,4.05431630509441,9,96.49,,,
